before_rmse,model_name,before_mae,kpi,before_selected_model,before_r2,after_rmse,after_mae,after_selected_model,after_r2,mae_delta,rmse_delta,r2_delta
8487.409518,linear_regression,6706.853513,net_revenue,True,0.647867,4858.142798,3674.188305,True,0.95024,-3032.665208,-3629.2667200000005,0.302373
10024.924647,random_forest,7623.754163,net_revenue,False,0.508732,9965.179598,6848.701099,False,0.79063,-775.0530639999997,-59.7450489999992,0.2818980000000001
8916.199988,xgboost,7012.216964,net_revenue,False,0.611388,9071.357342,6042.171906,False,0.826504,-970.0450580000006,155.15735399999903,0.21511599999999997
0.014371,random_forest,0.007771,shipping_delay_rate,False,0.765716,0.014614,0.007396,True,0.761418,-0.00037500000000000033,0.00024300000000000016,-0.004297999999999913
0.014235,linear_regression,0.007786,shipping_delay_rate,True,0.770128,0.015253,0.007813,False,0.740091,2.7000000000000114e-05,0.0010179999999999998,-0.03003699999999998
0.014322,xgboost,0.0077,shipping_delay_rate,False,0.767308,0.01542,0.007875,False,0.734392,0.0001749999999999998,0.001098,-0.032915999999999945
18.633091,random_forest,13.076287,support_ticket_count,True,0.832636,19.111337,13.360684,True,0.841686,0.28439699999999846,0.4782459999999986,0.009050000000000002
20.192766,xgboost,14.191403,support_ticket_count,False,0.803445,19.809126,13.969813,False,0.829914,-0.22158999999999907,-0.38363999999999976,0.026469000000000076
26.920636,linear_regression,18.754081,support_ticket_count,False,0.650649,28.548242,20.892812,False,0.646739,2.138731,1.627606,-0.00391000000000008
