kpi,model_name,mae,rmse,r2,train_rows,test_rows,selected_model
net_revenue,linear_regression,3741.061685,4964.673018,0.948033,573,143,True
net_revenue,xgboost,6059.988437,8961.673126,0.830674,573,143,False
net_revenue,random_forest,7034.548308,10151.042323,0.782747,573,143,False
shipping_delay_rate,linear_regression,0.007219,0.014857,0.862143,573,143,True
shipping_delay_rate,xgboost,0.007879,0.016072,0.838682,573,143,False
shipping_delay_rate,random_forest,0.008021,0.016574,0.828446,573,143,False
support_ticket_count,xgboost,13.681357,18.575684,0.862286,573,143,True
support_ticket_count,random_forest,13.843747,19.317244,0.851071,573,143,False
support_ticket_count,linear_regression,17.608099,23.296784,0.783389,573,143,False
